site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
LEF 1994 11 29 20 20 0 1994-11-29T20:20:00Z 1994.911910197869 1241-91 -999.99 -999.999 45.93 -90.27 868.0 472.0 396.0 N 71062 S1 1994-12-21T08:40:00 *..
LEF 1994 11 29 20 20 0 1994-11-29T20:20:00Z 1994.911910197869 1242-91 -999.99 -999.999 45.93 -90.27 868.0 472.0 396.0 N 71063 S1 1994-12-21T08:42:00 *..
LEF 1994 12 6 18 53 0 1994-12-06T18:53:00Z 1994.9309227549468 1243-91 374.71 0.116 45.93 -90.27 868.0 472.0 396.0 N 71064 S1 1994-12-21T08:28:00 ...
LEF 1994 12 6 18 53 0 1994-12-06T18:53:00Z 1994.9309227549468 1244-91 374.96 0.116 45.93 -90.27 868.0 472.0 396.0 N 71065 S1 1994-12-21T08:30:00 ...
LEF 1994 12 14 17 49 0 1994-12-14T17:49:00Z 1994.9527187975648 1245-91 377.6 0.116 45.93 -90.27 868.0 472.0 396.0 N 71066 S1 1995-01-10T10:20:00 .N.
LEF 1994 12 14 17 49 0 1994-12-14T17:49:00Z 1994.9527187975648 1246-91 377.34 0.116 45.93 -90.27 868.0 472.0 396.0 N 71067 S1 1995-01-10T10:22:00 .N.
LEF 1994 12 21 19 26 0 1994-12-21T19:26:00Z 1994.972081430746 1247-91 373.85 0.116 45.93 -90.27 868.0 472.0 396.0 N 71068 S1 1995-01-10T10:16:00 ...
LEF 1994 12 21 19 26 0 1994-12-21T19:26:00Z 1994.972081430746 1248-91 373.71 0.116 45.93 -90.27 868.0 472.0 396.0 N 71069 S1 1995-01-10T10:18:00 ...
LEF 1994 12 29 16 12 0 1994-12-29T16:12:00Z 1994.9936301369862 249-91 374.78 0.116 45.93 -90.27 868.0 472.0 396.0 N 71070 S1 1995-01-27T09:24:00 .N.
LEF 1994 12 29 16 12 0 1994-12-29T16:12:00Z 1994.9936301369862 250-91 374.81 0.116 45.93 -90.27 868.0 472.0 396.0 N 71071 S1 1995-01-27T09:26:00 .N.
LEF 1995 1 5 16 29 0 1995-01-05T16:29:00Z 1995.0128405631658 699-91 378.45 0.116 45.93 -90.27 868.0 472.0 396.0 N 71072 S1 1995-01-27T08:12:00 -N.
LEF 1995 1 5 16 29 0 1995-01-05T16:29:00Z 1995.0128405631658 700-91 380.86 0.116 45.93 -90.27 868.0 472.0 396.0 N 71073 S1 1995-01-27T08:14:00 +N.
LEF 1995 1 11 18 5 0 1995-01-11T18:05:00Z 1995.0294615677321 297-91 374.84 0.116 45.93 -90.27 868.0 472.0 396.0 N 71074 S1 1995-01-27T08:56:00 -..
LEF 1995 1 11 18 5 0 1995-01-11T18:05:00Z 1995.0294615677321 298-91 375.63 0.116 45.93 -90.27 868.0 472.0 396.0 N 71075 S1 1995-01-27T08:58:00 +..
LEF 1995 1 19 16 12 0 1995-01-19T16:12:00Z 1995.0511643835616 1241-91 369.64 0.116 45.93 -90.27 868.0 472.0 396.0 N 71076 S1 1995-01-27T09:12:00 .N.
LEF 1995 1 19 16 12 0 1995-01-19T16:12:00Z 1995.0511643835616 1242-91 369.4 0.116 45.93 -90.27 868.0 472.0 396.0 N 71077 S1 1995-01-27T09:14:00 .N.
LEF 1995 1 26 17 32 0 1995-01-26T17:32:00Z 1995.0704946727549 493-91 366.64 0.116 45.93 -90.27 868.0 472.0 396.0 N 71078 S1 1995-02-16T15:24:00 .N.
LEF 1995 1 26 17 32 0 1995-01-26T17:32:00Z 1995.0704946727549 494-91 366.44 0.116 45.93 -90.27 868.0 472.0 396.0 N 71079 S1 1995-02-16T15:26:00 .N.
LEF 1995 1 31 17 49 0 1995-01-31T17:49:00Z 1995.0842256468798 669-91 366.8 0.116 45.93 -90.27 868.0 472.0 396.0 N 71080 S1 1995-02-24T10:16:00 .N.
LEF 1995 1 31 17 49 0 1995-01-31T17:49:00Z 1995.0842256468798 670-91 366.49 0.116 45.93 -90.27 868.0 472.0 396.0 N 71081 S1 1995-02-24T10:18:00 .N.
LEF 1995 2 9 15 43 0 1995-02-09T15:43:00Z 1995.108643455099 633-91 368.63 0.116 45.93 -90.27 868.0 472.0 396.0 N 71082 S1 1995-02-24T10:20:00 .N.
LEF 1995 2 15 15 53 0 1995-02-15T15:53:00Z 1995.1251008371385 589-91 374.25 0.116 45.93 -90.27 868.0 472.0 396.0 N 71083 S1 1995-03-03T09:12:00 .N.
